['A1', 'SustainableEnergy']
['A2', 'Greenpower']
['A3', 'EnergyConservation']
['A4', 'Cogeneration']
['A5', 'EfficientEnergyUse']
['A6', 'GreenBuilding']
['A7', 'GeothermalHeatPump']
['A8', 'Low-CarbonPower']
['A9', 'Microgeneration']
['A10', 'PassiveSolarBuildingDesign']
['A11', 'RenewableEnergy']
['A12', 'AnaerobicDigestion']
['A13', 'GeothermalPower']
['A14', 'Hydroelectricity']
['A15', 'SolarEnergy']
['A16', 'TidalPower']
['A17', 'WindPower']
['A18', 'SustainableTransport']
['A19', 'Carbon-NeutralFuel']
['A20', 'ElectricVehicle']
['A21', 'FossilFuelPhase-Out']
['A22', 'GreenVehicle']
['A23', 'Plug-InHybrid']
['A24', 'OrganizingPrinciple']
['A25', 'SustainableDevelopment']
['A26', 'SustainabilityScience']
['A27', 'Sustainability']
['A28', 'WavePower']
['A29', 'GeothermalEnergy']
['A30', 'Bioenergy']
['A31', 'EnergyTransition']
['A32', '100%RenewableEnergy']
['A33', 'AlternativeEnergy']
['A34', 'Low-CarbonEconomy']
['A35', 'UnitedStatesEnvironmentalProtectionAgency']
['A36', 'GreenhouseGas']
['A37', 'RenewableEnergyCommercialization']
['A38', 'EnergySecurity']
['A39', 'FossilFuel']
['A40', 'InternationalEnergyAgency']
['A41', 'IndustrialRevolution']
['A42', 'Hydropower']
['A43', 'Biomass']
['A44', 'SolarThermalCollector']
['A45', 'Photovoltaics']
['A46', '1973OilCrisis']
['A47', '1979EnergyCrisis']
['A48', 'Gasification']
['A49', 'Biorefinery']
['A50', 'SolarThermalEnergy']
['A51', 'HotDryRockGeothermalEnergy']
['A52', 'MarineEnergy']
['A53', 'Nanotechnology']
['A54', 'Cost–BenefitAnalysis']
['A55', 'BatteryElectricVehicle']
['A56', 'HydrogenVehicle']
['A57', 'ConcentratedSolarPower']
['A58', 'CleanCoalTechnology']
['A59', 'NuclearPower']
['A60', 'Biofuel']
['A61', 'TheGeysers']
['A62', 'Run-Of-The-RiverHydroelectricity']
['A63', 'GeothermalEnergyInTheUnitedStates']
['A64', 'GeothermalPowerInIceland']
['A65', 'GeothermalPowerInIndonesia']
['A66', 'GeothermalPowerInThePhilippines']
['A67', 'GeothermalHeating']
['A68', 'EnhancedGeothermalSystem']
['A69', 'BiomassBriquettes']
['A70', 'NorthKivu']
['A71', 'DemocraticRepublicOfTheCongo']
['A72', 'VirungaNationalPark']
['A73', 'Stand-AlonePowerSystem']
['A74', 'Building-IntegratedPhotovoltaics']
['A75', 'PhotovoltaicPowerStation']
['A76', 'NellisSolarPowerPlant']
['A77', 'MilduraSolarConcentratorPowerStation']
['A78', 'MouraPhotovoltaicPowerStation']
['A79', 'WaldpolenzSolarPark']
['A80', 'WindFarm']
['A81', 'Watt']
['A82', 'WindPowerInDenmark']
['A83', 'WindPowerInSpain']
['A84', 'WindPowerInGermany']
['A85', 'California']
['A86', 'SolarEnergyGeneratingSystems']
['A87', 'NevadaSolarOne']
['A88', 'Spain']
['A89', 'Israel']
['A90', 'Brazil']
['A91', 'EthanolFuel']
['A92', 'Sugarcane']
['A93', 'Ethanol']
['A94', 'FordMotorCompany']
['A95', 'DaimlerAg']
['A96', 'MotorsLiquidationCompany']
['A97', 'SeasonalThermalEnergyStorage']
['A98', 'MunicipalSolidWaste']
['A99', 'EnergyCrop']
['A100', 'TidalStreamGenerator']
['A101', 'Seagen']
['A102', 'StrangfordLough']
['A103', 'Wake']
['A104', 'Portugal']
['A105', 'WaveFarm']
['A106', 'AguçadouraWaveFarm']
